PLAYER_ID,LEAGUE_ID,LEAGUE_NAME,SEASON,FGM,PLAYER_GAMES,TM_GAMES,FGA,TPM,TPA,FTM,FTA,PERSONAL_FOULS,BLOCKS,MP,STEALS,ASSISTS,OREB,DREB,TURNOVERS,TM_MINUTES,TM_FGA,TM_FTA,TM_TURNOVERS,TM_FGM,TM_TPM,TM_TPA,TM_FTM,TM_BLOCKS,TM_STEALS,TM_ASSISTS,TM_OREB,TM_DREB,OPP_FGA,OPP_FTA,OPP_TURNOVERS,OPP_FGM,OPP_TPM,OPP_TPA,OPP_FTM,OPP_BLOCKS,OPP_STEALS,OPP_ASSISTS,OPP_OREB,OPP_DREB,FGM_30,FGA_30,TPM_30,TPA_30,FTM_30,FTA_30,FOULS_30,BLOCKS_30,STEALS_30,ASSISTS_30,OREB_30,DREB_30,TOV_30,FG_PCT,TP_PCT,FT_PCT,USG,ASSIST_PCT,BLOCK_PCT,OREB_PCT,DREB_PCT,FTM_RATE,STL_PCT,TOV_PCT
x39,,,2014,101,33,33,203,10,43,37,72,93,37,1060,64,121,74,160,56,6625,1808,705,391,829,141,480,453,161,245,466,369,807,1719,659,449,697,172,524,440,108,198,361,339,754,2.858490566,5.745283019,0.283018868,1.216981132,1.047169811,2.037735849,2.632075472,1.047169811,1.811320755,3.424528302,2.094339623,4.528301887,1.58490566,0.497536946,0.23255814,0.513888889,0.14480711,0.215225898,0.038702929,0.082368655,0.17452007,0.18226601,0.037692143,0.192651713
x40,,,2014,82,32,32,144,0,0,49,73,67,21,726,10,14,56,116,52,6575,1618,548,459,679,289,798,405,70,190,405,276,743,1685,670,404,736,194,556,441,111,219,430,338,731,3.388429752,5.950413223,0,0,2.024793388,3.016528926,2.768595041,0.867768595,0.41322314,0.578512397,2.314049587,4.79338843,2.148760331,0.569444444,,0.671232877,0.178244682,0.047802786,0.033691045,0.100727415,0.194366506,0.340277778,0.008921922,0.227950202
x41,,,2014,74,32,32,191,27,76,49,64,76,15,780,21,41,31,122,48,6525,1669,477,357,727,228,635,349,126,118,460,277,775,1740,571,305,724,237,629,381,81,167,431,347,726,2.846153846,7.346153846,1.038461538,2.923076923,1.884615385,2.461538462,2.923076923,0.576923077,0.807692308,1.576923077,1.192307692,4.692307692,1.846153846,0.387434555,0.355263158,0.765625,0.199911995,0.113721864,0.022588797,0.051710254,0.18192102,0.256544503,0.01813108,0.179667615
x42,,,2014,96,31,31,226,8,28,88,126,65,5,758,19,37,34,86,50,6300,1704,600,387,688,167,559,369,135,205,394,352,747,1702,533,383,722,199,572,356,105,191,414,327,768,3.799472296,8.944591029,0.316622691,1.10817942,3.482849604,4.986807388,2.572559367,0.197889182,0.751978892,1.464379947,1.345646438,3.403693931,1.978891821,0.424778761,0.285714286,0.698412698,0.233945851,0.116391707,0.007355173,0.050461741,0.133105349,0.389380531,0.015917836,0.150856867
x43,,,2014,135,39,39,324,47,124,144,162,46,3,1322,59,217,19,118,76,7850,2191,873,421,1099,283,732,610,149,278,588,445,991,2281,548,481,962,199,633,379,121,216,452,428,799,3.063540091,7.352496218,1.066565809,2.813918306,3.267776097,3.676248109,1.04387292,0.068078669,1.338880484,4.924357035,0.431164902,2.677760968,1.724659607,0.416666667,0.379032258,0.888888889,0.186804788,0.274544534,0.002161883,0.018138502,0.098756982,0.444444444,0.027484455,0.161262943
x44,,,2014,8,24,32,24,2,3,16,25,24,1,231,7,17,4,10,13,6450,1661,601,371,812,282,704,441,135,196,476,231,798,1782,549,363,762,235,680,379,75,225,419,322,714,1.038961039,3.116883117,0.25974026,0.38961039,2.077922078,3.246753247,3.116883117,0.12987013,0.909090909,2.207792208,0.519480519,1.298701299,1.688311688,0.333333333,0.666666667,0.64,0.116724995,0.123722158,0.005067528,0.023637738,0.049860853,0.666666667,0.019063334,0.270833333
x45,,,2014,51,31,32,126,23,65,11,17,60,15,467,10,17,13,57,20,6525,1669,477,357,727,228,635,349,126,118,460,277,775,1740,571,305,724,237,629,381,81,167,431,347,726,3.276231263,8.094218415,1.47751606,4.175588865,0.706638116,1.092077088,3.854389722,0.96359743,0.642398287,1.092077088,0.835117773,3.661670236,1.284796574,0.404761905,0.353846154,0.647058824,0.191821344,0.081277431,0.037728612,0.036218966,0.141963151,0.087301587,0.014420559,0.130310138
x46,,,2014,16,31,31,42,0,0,3,6,45,10,294,13,5,18,43,5,6250,1723,653,384,733,158,503,461,149,206,383,384,769,1677,569,401,707,209,577,382,112,184,407,314,714,1.632653061,4.285714286,0,0,0.306122449,0.612244898,4.591836735,1.020408163,1.326530612,0.510204082,1.836734694,4.387755102,0.510204082,0.380952381,,0.5,0.088147959,0.031968982,0.038651824,0.069700011,0.168811754,0.071428571,0.02761941,0.100725222
x47,,,2014,52,27,32,139,33,91,12,18,22,2,365,8,19,12,26,36,6400,2052,709,392,946,264,740,531,144,242,509,372,734,2021,720,495,955,241,620,505,107,190,513,458,831,4.273972603,11.42465753,2.712328767,7.479452055,0.98630137,1.479452055,1.808219178,0.164383562,0.657534247,1.561643836,0.98630137,2.136986301,2.95890411,0.374100719,0.362637363,0.666666667,0.232758413,0.087252897,0.005006209,0.034981041,0.07649168,0.086330935,0.011869026,0.196807347
x48,,,2014,74,24,34,161,32,86,21,31,48,6,662,30,89,12,72,43,6825,1836,676,422,837,236,620,456,158,203,443,397,879,1802,589,415,689,228,688,415,110,228,388,323,717,3.35347432,7.296072508,1.450151057,3.897280967,0.951661631,1.404833837,2.175226586,0.271903323,1.359516616,4.033232628,0.543806647,3.262839879,1.948640483,0.459627329,0.372093023,0.677419355,0.175609372,0.268129089,0.011105567,0.022211133,0.123510162,0.130434783,0.028905328,0.197573975
x49,,,2014,48,31,31,74,0,0,15,40,87,39,610,12,18,45,70,30,6300,1704,600,387,688,167,559,369,135,205,394,352,747,1702,533,383,722,199,572,356,105,191,414,327,768,2.360655738,3.639344262,0,0,0.737704918,1.967213115,4.278688525,1.918032787,0.590163934,0.885245902,2.213114754,3.442622951,1.475409836,0.648648649,,0.375,0.106655529,0.063140312,0.071289714,0.082991803,0.134627713,0.202702703,0.012492548,0.246710526
x50,,,2014,1,3,31,4,0,3,1,2,1,0,10,0,2,2,4,2,6249,1789,667,422,760,220,632,456,40,201,368,334,759,1706,733,460,754,195,576,485,108,200,367,329,823,3,12,0,9,3,6,3,0,0,6,6,12,6,0.25,0,0.5,0.343329713,0.393625398,0,0.216041487,0.459485294,0.25,0,0.290697674
