PLAYER_ID,PLAYER_GAMES,FGM_30,FGA_30,TPM_30,TPA_30,FTM_30,FTA_30,FOULS_30,BLOCKS_30,STEALS_30,ASSISTS_30,OREB_30,DREB_30,TOV_30,FG_PCT,TP_PCT,FT_PCT,USG,ASSIST_PCT,BLOCK_PCT,OREB_PCT,DREB_PCT,FTM_Rate,STL_PCT,TOV_PCT,PICK_NUMBER
x24,1,10.98039216,48.17927171,3.697478992,21.03641457,16.55462185,27.89915966,3.081232493,0.168067227,1.120448179,33.47338936,1.456582633,15.26610644,3.585434174,0.779324056,0.670050761,2.659574468,1.028130622,1.505014254,0.005700213,0.056089825,0.561103042,1.465208748,0.02330559,0.203484675,
x25,1,27.36712306,49.39271203,2.361480546,4.837122373,11.28674239,18.290809,13.21542008,3.887994617,9.904851484,7.092074977,16.48261311,29.40027744,10.82884004,3.362568241,1.857142857,3.508922001,1.1130746,0.487701108,0.143908099,0.628223537,1.05544897,1.209043437,0.185171026,0.984431919,
x26,1,31.72819338,63.58559518,0.545454545,2.567105321,15.56766922,21.53466944,21.61308253,11.0423387,4.085028397,7.068172708,21.89971364,30.35126888,10.91371721,2.864886805,0.444444444,4.243761141,1.364572205,0.466506571,0.330260505,0.835245722,1.086667548,1.331214639,0.07163703,0.820323775,
x27,1,21.32260168,44.71342094,5.848734721,16.1106864,12.70128727,21.27387324,11.31252684,2.27463,7.980443424,14.47402538,7.975426953,17.4467081,10.12017992,2.861941272,2.148676038,3.588107593,1.177621784,0.907039336,0.089473298,0.355494124,0.699068206,1.709154378,0.169571397,0.950502533,
x28,1,29.77150423,72.80287712,8.611349956,26.54416338,21.60768582,30.25567367,29.07059035,5.984432498,7.453855096,10.88204825,13.78033817,32.66646223,13.1156756,3.330967342,2.724887681,5.779294759,1.573081836,0.611148934,0.195279382,0.523663437,1.20130825,2.462723247,0.134517525,1.068026707,
x29,1,26.97188107,50.1289891,0,0.168067227,11.52370315,23.24950411,14.65157448,8.097416714,1.813938352,2.834643489,22.21963496,35.29232972,10.94672357,3.217344932,0,2.985949267,1.193103078,0.183679584,0.279955405,0.876059888,1.358223152,1.380723759,0.034885423,0.922279333,
x30,1,49.98718444,108.4615143,15.64673314,41.26351011,16.59090254,20.15319941,20.44761704,1.223117143,8.230343298,19.1428872,8.198031968,25.5902537,13.38857909,4.643650602,3.81458246,7.985605809,2.034011578,1.083443118,0.036490549,0.325713409,0.942902456,1.571759181,0.149779881,1.039425451,
x31,1,18.54216867,35.74075613,2.355629414,6.937681762,13.48857499,19.55172414,6.917739925,3.065641878,3.280847528,5.470710428,10.27503116,16.54258413,5.353136685,2.075084364,1.281653747,2.725422237,0.858878627,0.384682548,0.103578339,0.396167498,0.63434817,1.499156355,0.066390548,0.427113307,
x32,1,24.09313237,46.61757682,0,0,6.952086446,15.50219288,38.97563851,7.438652286,8.371564308,3.59832398,21.3177779,38.17336799,15.55047861,4.09214093,0,3.702702703,1.094740801,0.181006427,0.23759413,0.818011729,1.415714254,1.357019505,0.152189947,1.976851774,
x33,1,26.26010353,51.92142492,0,0.228353949,22.61105608,36.14529426,24.19464444,8.650693128,7.074867538,9.278016036,20.56372431,31.59492279,17.12286809,3.039058325,0,3.761668977,1.366297186,0.601809398,0.294870649,0.792136658,1.19074297,2.625296091,0.134547757,1.205794195,
x34,1,18.20081303,43.07630974,7.625217435,22.35840732,6.266019191,8.736975931,16.37361291,0.551491317,4.633053611,10.04268918,5.366426388,14.17415379,8.023226692,2.564187867,2.020384294,4.696491228,0.846899729,0.540271196,0.017486423,0.185355972,0.535256897,0.850195695,0.084412592,0.860119598,
x35,1,23.46165463,61.21415534,10.2917208,30.40411575,14.32469208,16.70843817,14.25807454,0.947001671,7.805565183,8.746530185,5.789514352,18.00055315,8.647381397,2.26320648,2.071694972,5.082079153,1.296289364,0.567014047,0.033858578,0.217373532,0.675011132,1.337892842,0.14208379,0.673746682,
x36,1,17.30017165,40.62292189,7.533579805,21.5366287,8.549256383,12.30209221,10.89876244,0.443469493,4.205127897,17.10535476,1.925122136,6.80328656,11.21007334,1.696232845,1.388665105,2.808411215,0.940194278,1.106898683,0.015428491,0.071664959,0.251484644,0.84111633,0.083306169,0.78519895,
x37,1,15.74647035,31.38435805,0.178041543,0.178041543,4.329698161,7.93418889,25.31336824,28.99185394,2.418870136,4.329698161,14.11801395,31.28031148,8.33364834,3.009632035,2,3.432194617,0.693394706,0.272485888,0.882254811,0.533806518,1.121352015,0.881060606,0.044730894,1.202932836,
x38,1,47.7070246,113.6414854,12.09637566,39.96173638,25.6970881,36.20486181,17.89796004,1.599999756,8.092283686,34.68583043,4.157667757,27.02640852,21.24391367,4.178708439,2.969271592,7.203604621,2.317407245,1.875873382,0.045196033,0.156767946,0.975794604,2.234956131,0.142560714,1.394369005,
x39,1,8.148148148,12.67489712,0,0.082304527,3.868312757,6.255144033,5.267489712,8.395061728,0.411522634,1.316872428,4.609053498,8.806584362,3.621399177,1.285714286,0,1.236842105,0.323016752,0.0957814,0.286677452,0.174589448,0.301525851,0.61038961,0.008351844,0.380228137,
x40,1,18.15711554,45.78096971,7.500582938,19.64915798,6.959033989,10.2990161,21.82420887,1.646779964,5.137076676,9.50434273,12.29777003,15.92567701,13.32617359,2.351943076,2.190153846,2.697819315,1.022876708,0.608003037,0.062062601,0.463439279,0.588207505,0.904214559,0.097668641,1.244711669,
x41,1,4.186046512,11.1627907,0,0,6.976744186,11.1627907,6.976744186,0,0,1.395348837,4.186046512,11.1627907,5.581395349,0.75,0,1.25,0.30135336,0.060897193,0,0.149435363,0.390188733,1.25,0,0.515463918,
x42,1,7.933884298,24.29752066,0.991735537,3.966942149,3.966942149,6.94214876,2.479338843,0,2.975206612,12.39669421,1.487603306,4.958677686,5.950413223,0.653061224,0.5,1.142857143,0.463423543,0.589216964,0,0.053105129,0.173327639,0.326530612,0.047532146,0.357355569,
x43,1,33.70930418,80.05622907,5.964609311,17.87125388,16.27537434,25.39667484,54.16211788,5.769740465,12.44698506,18.51771642,18.65971768,35.39835795,19.93038244,5.904869883,4.256797128,8.89927495,1.767111726,1.013238136,0.183720838,0.702889854,1.343757358,2.960197564,0.228471882,2.542954709,
x44,1,28.05950338,65.44390042,15.64496326,42.88041374,11.97226418,14.21811701,23.16264347,0.598191605,5.399121832,11.09161864,2.298679708,19.60753378,13.18672754,3.478560539,2.82695376,6.881818182,1.397177705,0.713015432,0.021377363,0.096774322,0.720734537,1.376759188,0.10255326,1.261518563,
x45,1,38.11569941,90.7226016,8.412758854,25.78300581,21.0482893,26.45029338,13.56018862,0.823787339,10.13213897,23.46399677,4.661706925,16.66216849,16.94953062,3.373448947,2.589453088,6.495452318,2.061051211,1.548565452,0.029396241,0.186047251,0.627601517,1.871161103,0.201880129,1.126688602,
x46,1,10.30272879,29.88632225,1.563329171,9.90212528,6.200639925,11.6744056,13.35069715,5.587898653,10.97881224,11.38468342,9.851529577,20.39104365,15.11862026,1.988709677,0.940199336,2.804147465,0.798541317,0.649383336,0.172966264,0.381332944,0.718026554,1.08808933,0.19938342,1.839029653,
x47,1,34.85000678,91.16539892,14.46141255,45.10523985,18.3800721,21.94091168,14.1988822,1.174228984,8.848453539,24.29525706,3.531761338,18.61517292,20.2985345,3.072540312,2.61910946,6.659921198,2.010683395,1.620243134,0.03928388,0.132933933,0.713541784,1.660092389,0.170479047,1.337796381,
x48,1,31.56043579,75.68041005,8.824735141,29.59125899,29.85705439,35.07166279,23.25990358,8.845685433,3.553790972,8.301820386,16.07784186,33.70170942,18.02008916,3.356911065,2.460563134,6.797079573,1.777452183,0.544571712,0.263537579,0.60684369,1.138625322,3.157990419,0.070320826,1.319427003,
x49,1,15.86856335,44.76899911,10.07095435,29.36449089,8.547375145,10.05658096,8.387898976,0.355570258,3.446533276,6.965617942,2.300084415,7.84410577,8.525815062,1.407142857,1.334510843,3.404761905,0.884945246,0.393945627,0.010458783,0.085020395,0.289888679,0.755647841,0.062690229,0.597297907,
x50,1,20.15541891,46.63008204,5.420727009,16.35961601,18.46086741,25.51092332,24.20632377,0.071599045,11.23344325,42.29635389,2.819946662,13.24461467,22.28094182,3.432380201,2.646728202,5.709405701,1.321322395,2.509504545,0.002532116,0.107719945,0.507968063,3.126126916,0.216460107,2.264380003,
