playerid,year1,DRIP_Off_YEAR1,DRIP_Def_YEAR1,year2,DRIP_Off_YEAR2,DRIP_Def_YEAR2,year3,DRIP_Off_YEAR3,DRIP_Def_YEAR3,year4,DRIP_Off_YEAR4,DRIP_Def_YEAR4,year5,DRIP_Off_YEAR5,DRIP_Def_YEAR5,year6,DRIP_Off_YEAR6,DRIP_Def_YEAR6,year7,DRIP_Off_YEAR7,DRIP_Def_YEAR7,year8,DRIP_Off_YEAR8,DRIP_Def_YEAR8,year9,DRIP_Off_YEAR9,DRIP_Def_YEAR9,year10,DRIP_Off_YEAR10,DRIP_Def_YEAR10,year11,DRIP_Off_YEAR11,DRIP_Def_YEAR11
x33,2013,-1.541648422,-0.437875334,2014,-1.360634754,-0.332727155,2015,-0.916141165,0.093833611,2016,-0.821091947,-0.045291156,2017,-0.209444006,-0.031513307,2018,-0.265655154,-0.191497974,2019,-0.476734775,-0.136562475,2020,0.090560835,-0.282287517,2021,0.533638685,-0.291903271,2022,0.272358801,-0.021665115,,,
x34,2014,-0.759060164,0.116363026,2017,-0.550930014,0.109176392,,,,,,,,,,,,,,,,,,,,,,,,,,,
x35,2013,-1.222413775,0.073317181,2018,-1.06465933,-0.23284272,,,,,,,,,,,,,,,,,,,,,,,,,,,
x36,2013,-0.891384396,0.294804697,2014,-0.432281337,0.223634008,2015,0.057986136,0.218951379,2016,0.174915893,-0.131337279,2017,-0.330433055,-0.119568193,2018,-0.373009664,-0.29333056,2019,-0.516319952,0.010109096,2020,-0.569146864,-0.012806528,2022,-0.682833784,0.083249341,,,,,,
x37,2013,-1.380042824,-0.65033341,2014,-0.993041417,-0.206279364,2015,-0.833305062,-0.57868221,2016,-0.594222795,-0.94072301,2017,0.351228081,-0.53664932,2018,-0.00673328,-0.688991893,2019,-0.739084134,-0.674292071,,,,,,,,,,,,
x38,2013,-0.928835319,0.642487818,2014,-0.584755081,1.62138115,2015,-0.376297165,1.401596859,2016,-0.285896208,1.399000687,2017,-0.404713729,1.726132362,2019,-0.625054215,1.182189535,2020,-0.604748249,1.114934843,,,,,,,,,,,,
x39,2015,-0.714667001,0.202851677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x40,2014,-1.466889175,-0.502472583,2015,-1.721542748,-1.162603339,2016,-1.44959195,-0.94472596,2017,-0.838019739,-0.873341132,2018,0.763072917,-0.672428569,2019,0.789933331,-0.500250435,2020,1.096581788,-0.752589407,2021,0.71874913,-0.566952868,2022,0.230201122,-1.051589038,,,,,,
x41,2013,-1.201551104,-0.316221517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x42,2013,-1.025090537,-0.429106012,2014,-0.824382249,-0.462060717,2015,-1.048779694,-0.075526085,2016,-0.438775684,-0.572980703,2017,-0.432948939,-0.916834407,2018,-0.819120399,-0.957999911,2019,-0.060430041,-0.992357366,2020,-0.259222476,-0.952751154,2021,-0.663680817,-1.025930867,,,,,,
x43,2014,-1.55465321,-0.176153186,2015,-1.256620489,-0.347389097,,,,,,,,,,,,,,,,,,,,,,,,,,,
x44,2014,-1.824286016,0.014080462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x45,2014,-0.079939843,0.149519596,2015,-0.971134257,0.422640839,2016,-1.124617419,-0.120807524,2017,-0.949628505,-0.083565416,2018,-0.761346358,-0.276701599,2019,-0.52205014,-0.835772263,2020,-0.039256504,-0.881036885,2021,-0.361027277,-0.863467443,,,,,,,,,
x46,2014,-0.773122632,0.174275029,2015,-1.02130739,0.337549147,2016,-0.925826425,0.593339757,2017,-0.958233194,0.308100652,,,,,,,,,,,,,,,,,,,,,
x47,2013,-0.332112676,-1.232060525,2014,-0.111470485,-1.328259331,2015,-1.015308422,-1.177289839,2016,0.303788651,-0.933093653,2017,0.896170916,-0.719668118,2018,0.964952795,-1.306811689,2019,0.822011527,-0.872574167,2020,0.726982522,-1.001200245,2021,0.695852398,-0.995016936,2022,0.394985027,-0.8873383,,,
x48,2015,-0.697633716,-0.060285987,2016,-0.184042504,-0.33908667,2017,-1.1402702,-0.506989308,2018,-1.181069881,-0.431250547,2019,-0.474940886,-0.297394503,2020,-0.188922833,-0.435353909,2021,-0.084499834,-0.364093192,2022,-0.230640802,-0.324352391,,,,,,,,,
x49,2015,-1.343506127,0.231866964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x50,2014,0.109865905,-0.501431454,2015,0.203991501,-1.127803655,2016,-0.536793411,-1.263808332,2017,-0.0696649,-1.510734921,2018,0.320643045,-1.707605895,2019,0.705105196,-1.632367695,2020,1.027338482,-1.160158786,2021,0.897026756,-1.194498946,2022,1.417258822,-1.273051562,,,,,,
